Carimbo de data/hora,"Este estudo convida você a participar de um questionário online sobre transparência para escolha das disciplinas da PUC-Rio. O objetivo do estudo é aumentar a transparência sobre o ensino na Universidade e fornecer informações que auxiliem os alunos na escolha de suas disciplinas.
Sua participação neste estudo é totalmente anônima. As respostas ao questionário serão armazenadas em um banco de dados seguro e não serão identificadas por nome ou qualquer outro dado pessoal.
Sua participação neste estudo é voluntária. Você pode se recusar a participar ou retirar seu consentimento a qualquer momento, sem qualquer prejuízo.
Declaro que li este termo e concordo em participar. ","Sobre o micro-horário da PUC-RIO, o que você sente falta?","Sobre os professores, você acha importante ter acesso a informações sobre:","Sobre as disciplinas, você acha importante ter acesso a informações sobre:",Você gostaria de poder dar feedback sobre:,Você usaria um site que oferecesse as informações e funcionalidades descritas acima?,Quais funcionalidades você consideraria mais úteis?
14/03/2024 17:37:59,Sim,"Mais informações sobre o professor, Mais informações sobre a disciplina, Mais informações sobre o critério de avaliação","Quantas vezes o professor lecionou a disciplina que te interessa, Qual o índice de aprovação/reprovação do professor, Qual a média de desempenho dos alunos com esse professor, Se o professor costuma cobrar presença, Como o professor faz a avaliação (provas/testes/trabalhos/etc)","Quais professores lecionam ou já lecionaram ela, Qual o índice de aprovação/reprovação da disciplina, Qual a média de desempenho dos alunos da disciplina",Ambos,Sim,"Estatísticas de aprovação/reprovação, Comentários de outros alunos"
18/03/2024 08:37:28,Sim,"Mais informações sobre o professor, Mais informações sobre a disciplina, Mais informações sobre o critério de avaliação","Quantas vezes o professor lecionou a disciplina que te interessa, Qual o índice de aprovação/reprovação do professor, Qual a média de desempenho dos alunos com esse professor","Quais professores lecionam ou já lecionaram ela, Qual o índice de aprovação/reprovação da disciplina, Qual a média de desempenho dos alunos da disciplina",Ambos,Sim,"Busca por disciplina, Busca por professor, Filtros por curso, semestre, etc., Estatísticas de aprovação/reprovação, Comentários de outros alunos"
18/03/2024 08:39:35,Sim,"Mais informações sobre o professor, Mais informações sobre a disciplina","Qual o índice de aprovação/reprovação do professor, Qual a média de desempenho dos alunos com esse professor, Se o professor costuma cobrar presença, Como o professor faz a avaliação (provas/testes/trabalhos/etc)","Quais professores lecionam ou já lecionaram ela, Qual o índice de aprovação/reprovação da disciplina, Qual a média de desempenho dos alunos da disciplina",Ambos,Sim,"Filtros por curso, semestre, etc., Estatísticas de aprovação/reprovação"
18/03/2024 08:39:46,Sim,"Mais informações sobre o professor, Mais informações sobre a disciplina, Mais informações sobre o critério de avaliação","Qual o índice de aprovação/reprovação do professor, Qual a média de desempenho dos alunos com esse professor, Se o professor costuma cobrar presença, Como o professor faz a avaliação (provas/testes/trabalhos/etc)","Qual o índice de aprovação/reprovação da disciplina, Qual a média de desempenho dos alunos da disciplina",Nenhum,Sim,"Busca por disciplina, Busca por professor, Filtros por curso, semestre, etc., Estatísticas de aprovação/reprovação, Comentários de outros alunos"
18/03/2024 08:40:06,Sim,"Mais informações sobre o professor, Mais informações sobre a disciplina, Mais informações sobre o critério de avaliação","Quais disciplinas o professor leciona ou já lecionou, Qual o índice de aprovação/reprovação do professor, Qual a média de desempenho dos alunos com esse professor, Como o professor faz a avaliação (provas/testes/trabalhos/etc)","Qual o índice de aprovação/reprovação da disciplina, Qual a média de desempenho dos alunos da disciplina",Ambos,Sim,"Busca por disciplina, Busca por professor, Estatísticas de aprovação/reprovação, Comentários de outros alunos"
18/03/2024 08:45:25,Sim,Mais informações sobre o professor,"Quais disciplinas o professor leciona ou já lecionou, Quantas vezes o professor lecionou a disciplina que te interessa, Qual o índice de aprovação/reprovação do professor, Qual a média de desempenho dos alunos com esse professor, Se o professor costuma cobrar presença, Como o professor faz a avaliação (provas/testes/trabalhos/etc)","Quais professores lecionam ou já lecionaram ela, Qual o índice de aprovação/reprovação da disciplina, Qual a média de desempenho dos alunos da disciplina",Ambos,Sim,"Busca por professor, Filtros por curso, semestre, etc., Estatísticas de aprovação/reprovação, Comentários de outros alunos"
18/03/2024 08:51:33,Sim,"Mais informações sobre o professor, Mais informações sobre a disciplina","Quais disciplinas o professor leciona ou já lecionou, Quantas vezes o professor lecionou a disciplina que te interessa, Qual o índice de aprovação/reprovação do professor, Qual a média de desempenho dos alunos com esse professor","Qual o índice de aprovação/reprovação da disciplina, Qual a média de desempenho dos alunos da disciplina",Os professores que teve,Sim,"Busca por disciplina, Busca por professor, Filtros por curso, semestre, etc."
18/03/2024 08:54:23,Sim,Mais informações sobre o professor,"Qual o índice de aprovação/reprovação do professor, Qual a média de desempenho dos alunos com esse professor","Qual o índice de aprovação/reprovação da disciplina, Qual a média de desempenho dos alunos da disciplina",Ambos,Sim,Comentários de outros alunos
18/03/2024 09:00:39,Sim,"Mais informações sobre o professor, Mais informações sobre a disciplina, Mais informações sobre o critério de avaliação","Quantas vezes o professor lecionou a disciplina que te interessa, Qual o índice de aprovação/reprovação do professor, Qual a média de desempenho dos alunos com esse professor, Como o professor faz a avaliação (provas/testes/trabalhos/etc)","Qual o índice de aprovação/reprovação da disciplina, Qual a média de desempenho dos alunos da disciplina",Ambos,Sim,"Estatísticas de aprovação/reprovação, Comentários de outros alunos"
18/03/2024 09:13:22,Sim,Mais informações sobre o professor,Qual a média de desempenho dos alunos com esse professor,Qual o índice de aprovação/reprovação da disciplina,Nenhum,Sim,"Busca por disciplina, Busca por professor, Estatísticas de aprovação/reprovação"
